OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
459,2016,NonResidential,Small- and Mid-Sized Office,9725 3rd Avenue,NORTH,47.69999,-122.32663,1979,1.0,6,"Office, Parking",Office,53.0,74.40000153,42.03
460,2016,NonResidential,Large Office,9709 3rd Ave NE,NORTH,47.69917,-122.3268,1983,1.0,5,"Adult Education, Bank Branch, Office, Parking",Office,93.0,43.5,38.59
461,2016,NonResidential,Small- and Mid-Sized Office,9750 3rd Ave NE,NORTH,47.70063,-122.32487,1979,1.0,4,"Office, Parking",Office,20.0,88.30000305,33.06
462,2016,NonResidential,Small- and Mid-Sized Office,4045 Delridge Way,DELRIDGE,47.5671,-122.36416,1960,1.0,3,Office,Office,55.0,79.40000153,93.23
463,2016,NonResidential,Large Office,425 Pontius Ave N,LAKE UNION,47.62269,-122.33224,1982,1.0,4,"Office, Parking",Office,54.0,68.0,32.73
464,2016,NonResidential,Retail Store,4401 4th Ave South,GREATER DUWAMISH,47.5653,-122.33076,2005,1.0,1,Retail Store,Retail Store,25.0,147.0,454.49
465,2016,NonResidential,Large Office,1000 Denny Way,LAKE UNION,47.61907,-122.33651,1929,1.0,8,"Data Center, Office, Other, Restaurant",Office,75.0,174.6000061,349.07
466,2016,NonResidential,Other,1100 9th Avenue,EAST,47.60953,-122.32793,1975,1.0,8,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,75.0,385.6000061,1268.87
492,2016,NonResidential,Small- and Mid-Sized Office,201 Queen Anne Ave N,MAGNOLIA / QUEEN ANNE,47.62003,-122.35706,1985,1.0,4,"Office, Parking",Office,81.0,51.90000153,20.86
467,2016,NonResidential,Retail Store,915 NW 45th Street,BALLARD,47.66057,-122.36857,1999,1.0,1,"Parking, Retail Store, Supermarket/Grocery Store",Retail Store,62.0,107.6999969,326.18
468,2016,NonResidential,Large Office,535 Terry Ave. North,LAKE UNION,47.62402,-122.33755,2009,1.0,5,"Office, Other, Parking",Office,95.0,49.09999847,40.47
469,2016,NonResidential,Laboratory,960 Republican St.,LAKE UNION,47.62348,-122.33743,1928,1.0,3,"Data Center, Laboratory",Laboratory,75.0,218.6999969,269.71
470,2016,NonResidential,Laboratory,401 TERRY AVE N,LAKE UNION,47.62254,-122.33753,2003,1.0,4,Laboratory,Laboratory,75.0,197.1999969,849.83
471,2016,NonResidential,Large Office,428 Westlake Avenue N.,LAKE UNION,47.62286,-122.33804,2004,1.0,6,"Financial Office, Food Service, Office, Other, Parking",Office,96.0,37.29999924,22.57
473,2016,NonResidential,Large Office,500 Boren Ave. N.,LAKE UNION,47.62383,-122.3356,2009,1.0,5,"Medical Office, Office, Parking",Office,96.0,43.0,61.93
474,2016,NonResidential,Warehouse,700 Fairview Ave N,LAKE UNION,47.62572,-122.33389,1914,1.0,5,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56.0,22.0,29.53
475,2016,NonResidential,Large Office,1100 Fairview Ave No.,LAKE UNION,47.62855,-122.33035,2002,1.0,5,"Office, Parking",Office,71.0,81.59999847,632.4
476,2016,NonResidential,Large Office,823 Yale Ave N.,LAKE UNION,47.62621,-122.33128,2001,1.0,6,"Office, Parking",Office,49.0,89.80000305,94.64
477,2016,Campus,Other,1100 Fairview Ave N,LAKE UNION,47.62855,-122.33035,1997,1.0,5,"Other, Parking",Other,75.0,255.8000031,3995.45
480,2016,NonResidential,Mixed Use Property,307 Westlake Ave. N.,LAKE UNION,47.62121,-122.33885,2003,1.0,5,"Office, Other, Parking, Retail Store",Other,75.0,275.1000061,726.96
481,2016,NonResidential,Large Office,321 Terry Ave. N.,LAKE UNION,47.62137,-122.33744,2006,1.0,4,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",Office,97.0,51.0,122.68
482,2016,NonResidential,Large Office,320 Westlake Ave. N.,LAKE UNION,47.62131,-122.33814,2006,1.0,6,"Bank Branch, Office, Parking",Office,97.0,40.90000153,69.59
484,2016,NonResidential,Mixed Use Property,1020 John St.,LAKE UNION,47.62002,-122.33687,1954,1.0,3,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",Non-Refrigerated Warehouse,66.0,46.79999924,74.1
487,2016,NonResidential,Laboratory,850 Republican St.,LAKE UNION,47.62405,-122.34036,1963,1.0,4,Laboratory,Laboratory,75.0,241.5,587.16
488,2016,NonResidential,Mixed Use Property,850 Republican Street,LAKE UNION,47.62405,-122.34036,2008,1.0,5,"Laboratory, Office, Parking",Laboratory,75.0,180.1999969,1019.53
489,2016,NonResidential,Small- and Mid-Sized Office,200 West Thomas St,MAGNOLIA / QUEEN ANNE,47.62115,-122.3597,1974,1.0,5,"Office, Parking",Office,80.0,55.0,23.81
490,2016,NonResidential,Small- and Mid-Sized Office,100 West Harrison,MAGNOLIA / QUEEN ANNE,47.62224,-122.3585,1972,1.0,5,"Office, Parking",Office,69.0,57.59999847,25.32
491,2016,NonResidential,Small- and Mid-Sized Office,100 West Harrison,MAGNOLIA / QUEEN ANNE,47.62224,-122.3585,1970,1.0,5,"Office, Parking",Office,86.0,55.5,24.35
493,2016,NonResidential,Small- and Mid-Sized Office,200 1ST AVE W,MAGNOLIA / QUEEN ANNE,47.62014,-122.35768,1971,1.0,5,"Office, Parking",Office,75.0,0.0,24.29
494,2016,NonResidential,Medical Office,4225 Roosevelt Way NE,NORTHEAST,47.65821,-122.31831,1988,1.0,4,"Medical Office, Parking",Medical Office,5.0,182.0,477.87
495,2016,NonResidential,Medical Office,4245 Roosevelt Way NE,NORTHEAST,47.65884,-122.3183,1994,1.0,4,Medical Office,Medical Office,21.0,87.69999695,77.99
497,2016,NonResidential,Warehouse,2964 Sw Avalon Way,SOUTHWEST,47.56885,-122.37121,1997,1.0,4,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,83.0,12.0,22.44
498,2016,NonResidential,Hospital,825 Eastlake Ave E,LAKE UNION,47.62667,-122.32965,2000,1.0,7,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),23.0,200.3000031,1032.63
500,2016,NonResidential,Supermarket / Grocery Store,13000 Lake City Way NE,NORTH,47.7237,-122.29232,1995,1.0,2,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,78.0,122.5999985,277.98
503,2016,NonResidential,Supermarket / Grocery Store,3670 E MARGINAL WAY S,GREATER DUWAMISH,47.56895,-122.33775,2008,1.0,1,Supermarket/Grocery Store,Supermarket/Grocery Store,100.0,103.1999969,45.47
504,2016,Nonresidential COS,Other,4209 W Marginal Way SW,DELRIDGE,47.56548,-122.35378,1955,0.0,1,"Office, Other - Services",Other - Services,75.0,35.29999924,121.98
507,2016,NonResidential,Warehouse,4401 E Marginal Way S,GREATER DUWAMISH,47.56419,-122.34262,1999,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,100.0,4.300000191,41.8
508,2016,NonResidential,Other,601 N 34th St,LAKE UNION,47.64942,-122.35024,2001,1.0,3,"Office, Parking, Retail Store",Parking,75.0,93.0,80.32
513,2016,NonResidential,Other,1813 Westlake Ave N,MAGNOLIA / QUEEN ANNE,47.63549,-122.34103,1952,1.0,3,"Other, Parking",Other,75.0,95.5,47.94
514,2016,NonResidential,Retail Store,12525 AURORA AVENUE NORTH,NORTHWEST,47.72053,-122.34739,1997,1.0,1,Retail Store,Retail Store,72.0,82.90000153,110.46
515,2016,NonResidential,Warehouse,1430 North 130th Street,NORTHWEST,47.72377,-122.34095,1999,1.0,3,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,38.0,11.89999962,10.24
516,2016,NonResidential,Other,13201 Aurora Avenue North,NORTHWEST,47.72546,-122.34659,1964,6.0,1,"Parking, Strip Mall",Strip Mall,75.0,81.09999847,226.43
517,2016,NonResidential,Supermarket / Grocery Store,13550 Aurora Ave. N.,NORTHWEST,47.72803,-122.34214,1984,0.0,1,Wholesale Club/Supercenter,Wholesale Club/Supercenter,56.0,95.5,237.39
518,2016,NonResidential,Retail Store,13200 AURORA AVE N,NORTHWEST,47.7249,-122.34332,1967,1.0,1,"Retail Store, Supermarket/Grocery Store",Retail Store,79.0,150.8999939,553.27
519,2016,NonResidential,Supermarket / Grocery Store,13050 Aurora Avenue North,NORTHWEST,47.7235,-122.34458,1997,1.0,1,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,78.0,177.8000031,158.92
520,2016,NonResidential,Large Office,400 North 34th Street,LAKE UNION,47.65086,-122.35412,1988,1.0,3,Office,Office,73.0,51.70000076,34.9
521,2016,NonResidential,Small- and Mid-Sized Office,501 N 34th Street,LAKE UNION,47.64963,-122.35158,2000,1.0,4,Office,Office,84.0,43.29999924,27.17
522,2016,NonResidential,Small- and Mid-Sized Office,651 N 34th St,LAKE UNION,47.64849,-122.35041,2001,1.0,3,"Office, Parking",Office,70.0,87.0,37.74
523,2016,NonResidential,Large Office,801 N 34th,LAKE UNION,47.64822,-122.34848,1999,1.0,3,"Data Center, Office, Parking, Restaurant",Office,96.0,68.69999695,94.47
524,2016,NonResidential,Large Office,701 N. 34th Street,LAKE UNION,47.64882,-122.34905,1999,1.0,4,"Office, Parking",Office,89.0,62.20000076,85.01
525,2016,NonResidential,Mixed Use Property,1300 1st Avenue,DOWNTOWN,47.6074,-122.33777,1991,1.0,6,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,75.0,212.3999939,1623.34
526,2016,NonResidential,Large Office,5601 6th Ave. S,GREATER DUWAMISH,47.55146,-122.32832,1982,1.0,5,"Office, Parking",Office,95.0,31.60000038,53.57
527,2016,NonResidential,Warehouse,5900 4th Ave S,GREATER DUWAMISH,47.54983,-122.32858,1967,1.0,2,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,87.0,16.29999924,17.17
528,2016,NonResidential,Retail Store,5930 6th Ave. South,GREATER DUWAMISH,47.55032,-122.32614,1966,1.0,1,Retail Store,Retail Store,75.0,23.79999924,32.22
529,2016,NonResidential,Small- and Mid-Sized Office,2208 NW Market Street,BALLARD,47.66891,-122.38528,1925,1.0,6,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",Office,75.0,60.20000076,120.24
530,2016,NonResidential,Warehouse,5422 Shilshole Avenue NW,BALLARD,47.66724,-122.38553,1941,1.0,2,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,100.0,4.300000191,8.15
532,2016,NonResidential,Other,1416 NW 46th ST,BALLARD,47.66233,-122.3748,2008,1.0,5,"Parking, Retail Store",Parking,75.0,134.8000031,413.35
533,2016,NonResidential,Self-Storage Facility,3000 15th Ave West,MAGNOLIA / QUEEN ANNE,47.64676,-122.37581,1988,1.0,4,"Parking, Self-Storage Facility",Self-Storage Facility,75.0,3.599999905,3.25
534,2016,NonResidential,Warehouse,1300 W. Nickerson Street,MAGNOLIA / QUEEN ANNE,47.65567,-122.37478,1997,1.0,4,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,94.0,11.80000019,25.58
536,2016,NonResidential,Self-Storage Facility,1900 15th Ave W.,MAGNOLIA / QUEEN ANNE,47.63634,-122.3754,1956,1.0,3,Self-Storage Facility,Self-Storage Facility,75.0,12.60000038,33.18
538,2016,NonResidential,Large Office,315 Fifth Avenue,DOWNTOWN,47.59963,-122.32796,2002,1.0,10,"Office, Other, Parking",Office,88.0,50.90000153,53.25
539,2016,NonResidential,Retail Store,4501 Roosevelt Way NE,NORTHEAST,47.66178,-122.31812,1987,1.0,2,Retail Store,Retail Store,100.0,4.599999905,2.22
540,2016,NonResidential,Warehouse,6136 6th Ave S,GREATER DUWAMISH,47.54769,-122.3251,1966,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33.0,17.60000038,2.8
543,2016,NonResidential,Distribution Center,6701-6795 E. Marginal Way S.,GREATER DUWAMISH,47.54187,-122.32714,1967,1.0,1,"Distribution Center, Parking",Distribution Center,62.0,51.0,237.36
774,2016,NonResidential,Large Office,720 3RD AVE,DOWNTOWN,47.60411,-122.33225,1970,1.0,22,"Office, Parking",Office,95.0,39.29999924,59.21
544,2016,NonResidential,Distribution Center,6701-6797 E Marginal Way S.,GREATER DUWAMISH,47.54187,-122.32714,1967,1.0,1,"Distribution Center, Parking",Distribution Center,72.0,35.09999847,42.65
545,2016,NonResidential,Distribution Center,6335 1st Ave S,GREATER DUWAMISH,47.54621,-122.33486,1969,1.0,1,Distribution Center,Distribution Center,26.0,48.79999924,76.68
546,2016,NonResidential,Warehouse,410 S Front Street,GREATER DUWAMISH,47.54853,-122.32814,1966,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,49.0,18.0,10.72
547,2016,NonResidential,Warehouse,6001 6th Ave S,GREATER DUWAMISH,47.54912,-122.32819,1966,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,63.0,9.5,3.62
548,2016,NonResidential,Small- and Mid-Sized Office,5933 6th Ave S,GREATER DUWAMISH,47.54965,-122.3278,1964,1.0,1,"Office, Parking",Office,96.0,33.40000153,46.93
549,2016,NonResidential,Small- and Mid-Sized Office,400 Mercer Street,MAGNOLIA / QUEEN ANNE,47.62476,-122.34843,1987,1.0,6,Office,Office,98.0,28.20000076,28.63
550,2016,NonResidential,Warehouse,11512 Aurora Avenue N,NORTHWEST,47.71286,-122.34422,1986,1.0,3,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,89.0,5.199999809,6.32
551,2016,NonResidential,Mixed Use Property,1110 East Pine Street,EAST,47.61552,-122.31744,1927,1.0,2,"Office, Other, Parking",Other,75.0,66.40000153,38.48
552,2016,NonResidential,Distribution Center,3800 1st Avenue South,GREATER DUWAMISH,47.5701,-122.33342,1968,1.0,1,Distribution Center,Distribution Center,25.0,62.09999847,204.81
553,2016,NonResidential,Distribution Center,3844 1ST AVE S,GREATER DUWAMISH,47.56874,-122.33303,1949,1.0,1,Distribution Center,Distribution Center,1.0,211.1000061,152.71
554,2016,NonResidential,Distribution Center,3601 2ND AVE S,GREATER DUWAMISH,47.57023,-122.33241,1980,1.0,1,Distribution Center,Distribution Center,80.0,20.70000076,32.02
555,2016,NonResidential,Other,4000 1st Ave. South,GREATER DUWAMISH,47.56785,-122.33361,1940,1.0,1,"Office, Other",Other,75.0,92.30000305,74.31
556,2016,NonResidential,Refrigerated Warehouse,4103 2nd Ave South,GREATER DUWAMISH,47.56637,-122.33273,1953,1.0,1,"Office, Parking, Refrigerated Warehouse",Refrigerated Warehouse,75.0,167.3999939,142.36
557,2016,NonResidential,Supermarket / Grocery Store,8704 Greenwood Ave N,NORTHWEST,47.69267,-122.35506,2003,1.0,1,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,41.0,291.5,414.43
558,2016,NonResidential,Supermarket / Grocery Store,1531 NE 145th Street,NORTH,47.73315,-122.3105,1980,1.0,1,Supermarket/Grocery Store,Supermarket/Grocery Store,37.0,254.6000061,272.54
561,2016,NonResidential,Large Office,221 Yale Avenue North,LAKE UNION,47.62029,-122.33078,2005,1.0,6,"Office, Parking, Retail Store",Office,95.0,42.20000076,54.92
562,2016,NonResidential,Retail Store,222 Yale Ave. N.,LAKE UNION,47.62,-122.33027,1996,1.0,4,Retail Store,Retail Store,42.0,105.5999985,190.61
563,2016,NonResidential,Small- and Mid-Sized Office,1130 Rainier Ave S,CENTRAL,47.59367,-122.30957,1914,1.0,2,"Office, Other - Services, Parking",Office,32.0,87.80000305,38.55
564,2016,NonResidential,Small- and Mid-Sized Office,900 Poplar Pl S.,GREATER DUWAMISH,47.59388,-122.31124,1970,1.0,1,"Office, Other",Office,89.0,52.09999847,90.24
565,2016,NonResidential,Large Office,4915 25th Ave NE,NORTHEAST,47.66517,-122.30186,2006,1.0,3,"Office, Parking",Office,26.0,73.0,49.17
566,2016,NonResidential,Other,1708 E Pike St,CENTRAL,47.6144,-122.30982,1926,1.0,3,Other,Other,75.0,163.3999939,85.28
568,2016,NonResidential,Warehouse,4201 6th Ave S,GREATER DUWAMISH,47.56407,-122.32765,1991,1.0,2,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,92.0,27.10000038,262.45
569,2016,NonResidential,Mixed Use Property,1200 12th Avenue South,GREATER DUWAMISH,47.5928,-122.31599,1932,1.0,14,"Medical Office, Office, Parking",Office,66.0,70.30000305,247.35
570,2016,NonResidential,Small- and Mid-Sized Office,2323 Eastlake Ave E,LAKE UNION,47.64037,-122.32626,1978,1.0,4,"Data Center, Office, Parking",Office,75.0,92.5,33.85
571,2016,NonResidential,Distribution Center,7272 W. Marginal Way S.,GREATER DUWAMISH,47.53687,-122.33316,1989,1.0,2,"Distribution Center, Office",Distribution Center,94.0,21.60000038,42.25
572,2016,NonResidential,Mixed Use Property,1275 Mercer St,LAKE UNION,47.62405,-122.33084,1928,1.0,1,"Office, Other, Parking",Office,75.0,91.90000153,63.89
573,2016,NonResidential,Large Office,617 Eastlake Ave E,LAKE UNION,47.62488,-122.33007,1990,1.0,5,"Office, Parking",Office,62.0,67.69999695,35.8
574,2016,NonResidential,Retail Store,401 NE NORTHGATE WAY,NORTH,47.70759,-122.3255,1950,1.0,2,Retail Store,Retail Store,97.0,25.70000076,129.29
575,2016,NonResidential,Small- and Mid-Sized Office,2150 N 107th ST,NORTHWEST,47.70744,-122.33171,1974,1.0,5,Office,Office,53.0,118.5,293.55
576,2016,NonResidential,Other,818-832 NE Northgate Way,NORTH,47.7094,-122.31843,1969,0.0,2,Strip Mall,Strip Mall,75.0,55.79999924,46.49
577,2016,NonResidential,Small- and Mid-Sized Office,10700 Meridian Ave North,NORTHWEST,47.70732,-122.33279,1981,1.0,6,"Office, Parking",Office,56.0,76.69999695,44.35
578,2016,NonResidential,Distribution Center,7115 W Marginal Way SW,DELRIDGE,47.53926,-122.34143,1976,1.0,1,"Distribution Center, Office",Distribution Center,75.0,23.20000076,22.1
579,2016,NonResidential,Warehouse,7245 West Marginal Way SW,DELRIDGE,47.53689,-122.33847,1968,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61.0,17.79999924,57.73
580,2016,NonResidential,Large Office,1300 Dexter Ave N,MAGNOLIA / QUEEN ANNE,47.63116,-122.34193,1986,1.0,5,"Office, Parking",Office,95.0,50.59999847,58.88
581,2016,NonResidential,Other,11011 Meridian Ave N,NORTHWEST,47.70887,-122.33494,2005,1.0,3,"Medical Office, Parking",Parking,75.0,101.0999985,49.28
582,2016,NonResidential,Medical Office,1536 N. 115th Street,NORTHWEST,47.7126,-122.33782,2005,1.0,3,"Medical Office, Retail Store",Medical Office,75.0,74.59999847,33.22
583,2016,NonResidential,Warehouse,1201 N. 96th St.,NORTHWEST,47.69814,-122.34295,1948,1.0,2,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,75.0,18.70000076,34.0
584,2016,NonResidential,Warehouse,428 S. Cloverdale,GREATER DUWAMISH,47.52696,-122.32913,1980,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,14.0,42.59999847,58.67
23854,2016,NonResidential,Restaurant,1301 Alaskan Way,DOWNTOWN,47.60613,-122.34115,1900,1.0,1,Restaurant,Restaurant,75.0,271.1000061,611.19
585,2016,NonResidential,Medical Office,10330 Meridian Ave N,NORTHWEST,47.70449,-122.33272,1961,1.0,3,Medical Office,Medical Office,21.0,120.3000031,295.48
586,2016,NonResidential,Retail Store,401 NE NORTHGATE WAY STE 475,NORTH,47.70759,-122.3255,1965,1.0,2,Retail Store,Retail Store,78.0,38.79999924,91.1
588,2016,NonResidential,Mixed Use Property,1616 Eastlake Ave. E,LAKE UNION,47.63451,-122.32505,2002,0.0,5,"Laboratory, Office, Parking",Parking,75.0,284.7000122,1156.45
589,2016,NonResidential,Large Office,1260 Mercer St,LAKE UNION,47.6244,-122.33157,2000,1.0,4,"Office, Parking",Office,91.0,62.40000153,45.22
590,2016,NonResidential,Warehouse,4727 DENVER AVE S,GREATER DUWAMISH,47.56089,-122.33474,1969,1.0,2,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,93.0,11.0,23.86
592,2016,NonResidential,Other,4755 1ST AVE S,GREATER DUWAMISH,47.55787,-122.335,2000,1.0,1,Other,Other,75.0,37.0,49.9
594,2016,NonResidential,Other,220 S Hudson St,GREATER DUWAMISH,47.55741,-122.33163,1973,0.0,1,Other,Other,75.0,25.20000076,107.83
595,2016,NonResidential,Small- and Mid-Sized Office,220 S Dawson St,GREATER DUWAMISH,47.5563,-122.33186,1948,1.0,1,Office,Office,86.0,40.0,22.12
596,2016,NonResidential,Small- and Mid-Sized Office,5050 1st Ave S,GREATER DUWAMISH,47.55623,-122.33316,1938,1.0,1,Office,Office,62.0,67.59999847,65.3
597,2016,NonResidential,Large Office,635 Elliott Avenue West,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,2009,1.0,4,"Office, Parking",Office,98.0,34.20000076,49.74
598,2016,NonResidential,Warehouse,4225 2nd Ave. South,GREATER DUWAMISH,47.56549,-122.33221,1957,1.0,1,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,63.0,50.20000076,107.16
599,2016,NonResidential,Refrigerated Warehouse,4601 6th Ave S,GREATER DUWAMISH,47.56158,-122.32754,1971,1.0,1,Refrigerated Warehouse,Refrigerated Warehouse,70.0,36.5,20.29
600,2016,NonResidential,Warehouse,4100 4th Avenue South,GREATER DUWAMISH,47.56558,-122.32889,1956,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,65.0,29.39999962,39.5
601,2016,NonResidential,Mixed Use Property,1815 N 45th St.,LAKE UNION,47.66113,-122.33572,1904,1.0,2,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,75.0,67.19999695,64.0
602,2016,NonResidential,Mixed Use Property,199 E Blaine St.,LAKE UNION,47.63465,-122.32592,2008,1.0,3,"Laboratory, Office, Parking",Office,75.0,235.6000061,640.71
603,2016,NonResidential,Other,1241 Eastlake Ave E,LAKE UNION,47.63108,-122.32746,1920,1.0,3,"Other, Parking",Other,75.0,183.1999969,406.02
604,2016,NonResidential,Large Office,1200 Westlake Ave N,LAKE UNION,47.63,-122.3396,1971,1.0,11,"Food Service, Office, Parking, Restaurant",Office,58.0,115.0,365.79
605,2016,NonResidential,Small- and Mid-Sized Office,1700 Westlake Ave N,LAKE UNION,47.63376,-122.33968,1970,1.0,7,"Office, Parking",Office,70.0,60.29999924,39.47
606,2016,NonResidential,Warehouse,520 S Brandon St,GREATER DUWAMISH,47.55515,-122.3275,1974,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,60.0,13.5,8.73
19746,2016,NonResidential,Other,2609 1st Avenue,DOWNTOWN,47.6153,-122.35014,1946,1.0,1,"Office, Other",Other,75.0,36.79999924,25.74
607,2016,NonResidential,Supermarket / Grocery Store,9262 Rainier Ave,SOUTHEAST,47.52095,-122.26825,2002,1.0,1,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,32.0,249.1999969,306.5
608,2016,NonResidential,Large Office,411 1ST AVE S,DOWNTOWN,47.59878,-122.33458,1913,5.0,7,Office,Office,100.0,58.79999924,29.43
609,2016,NonResidential,Small- and Mid-Sized Office,111 South Jackson Street,DOWNTOWN,47.59895,-122.33379,1904,1.0,5,Office,Office,88.0,36.0,19.73
610,2016,NonResidential,Small- and Mid-Sized Office,419 Occidental Ave. S.,DOWNTOWN,47.59855,-122.33327,1906,1.0,7,"Office, Retail Store",Office,64.0,75.0,134.69
611,2016,NonResidential,Small- and Mid-Sized Office,100 South King Street,DOWNTOWN,47.59856,-122.33379,1907,1.0,6,Office,Office,82.0,47.29999924,19.89
612,2016,NonResidential,Small- and Mid-Sized Office,105 South Main St.,DOWNTOWN,47.59979,-122.3338,1900,1.0,4,"Office, Retail Store",Office,87.0,39.20000076,76.8
613,2016,NonResidential,Small- and Mid-Sized Office,216 1st Ave. S.,DOWNTOWN,47.60035,-122.33379,1900,1.0,4,"Enclosed Mall, Office",Office,75.0,30.79999924,26.04
614,2016,NonResidential,Small- and Mid-Sized Office,157 Yesler Way,DOWNTOWN,47.60146,-122.33248,1900,1.0,6,"Office, Restaurant, Retail Store",Office,75.0,62.09999847,24.89
615,2016,NonResidential,Large Office,308 Occidental Avenue S,DOWNTOWN,47.59962,-122.33247,1900,1.0,4,"Office, Retail Store",Office,79.0,53.90000153,130.31
616,2016,NonResidential,Large Office,401 Second Ave S,DOWNTOWN,47.59858,-122.33198,1907,1.0,7,Office,Office,98.0,28.0,99.59
618,2016,NonResidential,Small- and Mid-Sized Office,110 Prefontaine Pl S,DOWNTOWN,47.60159,-122.32915,1909,1.0,6,"Non-Refrigerated Warehouse, Office, Retail Store",Office,83.0,51.59999847,22.39
619,2016,Nonresidential COS,Other,303 S Jackson Street,DOWNTOWN,47.59871,-122.3299,1906,1.0,3,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,75.0,31.0,13.28
620,2016,NonResidential,Mixed Use Property,1064 4th Ave S,GREATER DUWAMISH,47.59334,-122.32905,1910,1.0,3,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,37.0,43.40000153,31.58
621,2016,NonResidential,Warehouse,1045 6th Avenue South,GREATER DUWAMISH,47.59366,-122.32666,1922,1.0,1,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,83.0,30.20000076,65.56
622,2016,NonResidential,Other,241 S Lander St,GREATER DUWAMISH,47.57941,-122.33131,1953,1.0,2,"Distribution Center, Office, Other",Other,75.0,60.59999847,132.6
623,2016,NonResidential,Distribution Center,270 S HANFORD ST,GREATER DUWAMISH,47.57658,-122.33054,1962,1.0,2,"Distribution Center, Office",Distribution Center,56.0,35.09999847,74.18
624,2016,NonResidential,Other,1900 Occidental Ave S,GREATER DUWAMISH,47.58444,-122.33282,1941,2.0,2,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,75.0,15.69999981,15.65
625,2016,NonResidential,Large Office,2200 1st Avenue South,GREATER DUWAMISH,47.58361,-122.33369,1900,1.0,4,Office,Office,80.0,41.70000076,30.5
626,2016,NonResidential,Warehouse,1750 Occidental Ave S,GREATER DUWAMISH,47.58781,-122.33264,1954,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,69.0,11.60000038,16.48
627,2016,NonResidential,Small- and Mid-Sized Office,901 Occidental Ave S,GREATER DUWAMISH,47.59486,-122.33368,1904,1.0,4,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,75.0,32.79999924,41.18
628,2016,NonResidential,Distribution Center,1000 1st Ave S,GREATER DUWAMISH,47.59403,-122.33367,1910,1.0,6,"Distribution Center, Office, Parking",Distribution Center,15.0,43.70000076,18.74
629,2016,NonResidential,Distribution Center,1014 1st Ave S,GREATER DUWAMISH,47.59363,-122.33371,1907,1.0,4,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,75.0,18.79999924,7.37
630,2016,NonResidential,Small- and Mid-Sized Office,542 1st Avenue South,DOWNTOWN,47.59701,-122.33378,1904,1.0,4,"Office, Retail Store",Office,31.0,103.5,138.35
632,2016,NonResidential,Small- and Mid-Sized Office,568 1st Avenue South,DOWNTOWN,47.59639,-122.33368,1909,1.0,6,"Office, Parking",Office,81.0,45.40000153,20.18
633,2016,NonResidential,Large Office,83 S KING ST,DOWNTOWN,47.59806,-122.33475,1904,1.0,7,"Data Center, Office",Office,81.0,52.70000076,67.78
